DATE,CORESTICKM159SFRBATL
1967/12/1,3.383497007
1968/1/1,3.659987292
1968/2/1,3.682012499
1968/3/1,4.151667589
1968/4/1,4.165427174
1968/5/1,4.097704474
1968/6/1,4.557597098
1968/7/1,4.766361188
1968/8/1,4.960194431
1968/9/1,4.961849181
1968/10/1,5.198351909
1968/11/1,5.414944837
1968/12/1,5.72486893
1969/1/1,5.765763045
1969/2/1,5.769158001
1969/3/1,6.143376532
1969/4/1,6.524447618
1969/5/1,6.799346963
1969/6/1,6.392103407
1969/7/1,6.404961413
1969/8/1,6.430385766
1969/9/1,6.850795793
1969/10/1,6.574721234
1969/11/1,6.451706907
1969/12/1,6.425116862
1970/1/1,6.628279061
1970/2/1,7.09144749
1970/3/1,7.030543696
1970/4/1,6.855423125
1970/5/1,6.98585698
1970/6/1,7.191308106
1970/7/1,7.04714037
1970/8/1,7.154475413
1970/9/1,7.121184091
1970/10/1,7.097174731
1970/11/1,7.376794582
1970/12/1,7.381000774
1971/1/1,7.042661405
1971/2/1,6.360389898
1971/3/1,5.533559236
1971/4/1,5.338291383
1971/5/1,5.094236396
1971/6/1,5.273268229
1971/7/1,5.199542864
1971/8/1,4.947926701
1971/9/1,4.707522595
1971/10/1,4.41123702
1971/11/1,3.978662385
1971/12/1,3.708040621
1972/1/1,3.755946258
1972/2/1,3.864643731
1972/3/1,4.078580445
1972/4/1,3.991015808
1972/5/1,3.880713129
1972/6/1,3.504240606
1972/7/1,3.481835749
1972/8/1,3.380601319
1972/9/1,3.137835466
1972/10/1,3.344140047
1972/11/1,3.281095844
1972/12/1,3.153985901
1973/1/1,2.847928102
1973/2/1,2.886258664
1973/3/1,2.934248028
1973/4/1,3.036614659
1973/5/1,3.180735955
1973/6/1,3.104206448
1973/7/1,3.018552356
1973/8/1,3.329072164
1973/9/1,3.952644678
1973/10/1,4.775638756
1973/11/1,4.938670847
1973/12/1,5.319843098
1974/1/1,5.857506965
1974/2/1,6.303969131
1974/3/1,6.831393725
1974/4/1,7.120384207
1974/5/1,7.749650582
1974/6/1,8.640321526
1974/7/1,9.552860371
1974/8/1,10.13031909
1974/9/1,10.62160391
1974/10/1,10.59130687
1974/11/1,11.01716279
1974/12/1,11.52743942
1975/1/1,11.65667686
1975/2/1,11.81641442
1975/3/1,11.60371743
1975/4/1,11.72923912
1975/5/1,10.95152941
1975/6/1,10.45505733
1975/7/1,9.787927045
1975/8/1,8.938380195
1975/9/1,8.554354053
1975/10/1,8.142102792
1975/11/1,8.13591166
1975/12/1,7.727553082
1976/1/1,7.741363545
1976/2/1,7.425762409
1976/3/1,7.388426262
1976/4/1,6.899629973
1976/5/1,7.018298581
1976/6/1,6.922850698
1976/7/1,7.140992224
1976/8/1,7.405380061
1976/9/1,7.125381525
1976/10/1,6.910786682
1976/11/1,6.633941823
1976/12/1,6.218614511
1977/1/1,6.062302309
1977/2/1,6.063399587
1977/3/1,6.112229251
1977/4/1,6.591159521
1977/5/1,6.751544987
1977/6/1,6.930956833
1977/7/1,6.892219332
1977/8/1,6.843199666
1977/9/1,6.883555545
1977/10/1,6.96244877
1977/11/1,7.010588577
1977/12/1,7.387469073
1978/1/1,7.395951567
1978/2/1,7.365140892
1978/3/1,7.457868288
1978/4/1,7.437211324
1978/5/1,7.667650906
1978/6/1,7.705467144
1978/7/1,7.939210957
1978/8/1,8.204046896
1978/9/1,8.605577994
1978/10/1,9.062421667
1978/11/1,9.237557806
1978/12/1,9.071115875
1979/1/1,9.083750922
1979/2/1,9.586034706
1979/3/1,9.689852424
1979/4/1,9.934098639
1979/5/1,10.09794116
1979/6/1,10.28481979
1979/7/1,10.52123732
1979/8/1,10.95439574
1979/9/1,11.00254062
1979/10/1,11.27951437
1979/11/1,11.95175819
1979/12/1,12.76185846
1980/1/1,13.49924924
1980/2/1,13.62777812
1980/3/1,14.36138589
1980/4/1,14.78677952
1980/5/1,15.14725592
1980/6/1,15.81058207
1980/7/1,14.17852978
1980/8/1,13.31419442
1980/9/1,13.13660824
1980/10/1,13.13305195
1980/11/1,12.91869716
1980/12/1,12.73224295
1981/1/1,12.0628636
1981/2/1,11.27492605
1981/3/1,10.36372785
1981/4/1,9.752589153
1981/5/1,9.645887355
1981/6/1,9.250210999
1981/7/1,11.27438473
1981/8/1,11.85301815
1981/9/1,12.26253312
1981/10/1,11.29831354
1981/11/1,10.55464519
1981/12/1,9.884984782
1982/1/1,9.499196473
1982/2/1,9.56769049
1982/3/1,8.920648287
1982/4/1,9.112202163
1982/5/1,9.08479885
1982/6/1,8.909836827
1982/7/1,7.912560428
1982/8/1,7.351467333
1982/9/1,6.003409335
1982/10/1,6.000904404
1982/11/1,5.327823771
1982/12/1,4.518985485
1983/1/1,4.695598354
1983/2/1,4.62783567
1983/3/1,4.855813143
1983/4/1,4.456933531
1983/5/1,3.549623729
1983/6/1,2.843739681
1983/7/1,2.630755198
1983/8/1,2.553400975
1983/9/1,2.944004571
1983/10/1,3.09331236
1983/11/1,3.751793567
1983/12/1,4.465480085
1984/1/1,4.485762548
1984/2/1,4.524563869
1984/3/1,4.65415841
1984/4/1,4.646319003
1984/5/1,4.708074066
1984/6/1,4.787485493
1984/7/1,4.897092721
1984/8/1,5.032939607
1984/9/1,5.140612141
1984/10/1,5.103857709
1984/11/1,4.968986894
1984/12/1,5.052939222
1985/1/1,4.726710471
1985/2/1,4.871701461
1985/3/1,4.962072036
1985/4/1,4.754134291
1985/5/1,5.037120921
1985/6/1,5.05654234
1985/7/1,4.948295318
1985/8/1,4.94547442
1985/9/1,4.7871651
1985/10/1,4.891950804
1985/11/1,5.149995169
1985/12/1,5.030732007
1986/1/1,5.296961132
1986/2/1,5.124947576
1986/3/1,5.229854261
1986/4/1,5.370857251
1986/5/1,5.040741681
1986/6/1,5.042080888
1986/7/1,4.975291061
1986/8/1,4.838260997
1986/9/1,4.962973389
1986/10/1,4.897657302
1986/11/1,4.591247998
1986/12/1,4.64519092
1987/1/1,4.481798225
1987/2/1,4.44093159
1987/3/1,4.263792189
1987/4/1,4.358079784
1987/5/1,4.416917659
1987/6/1,4.175391862
1987/7/1,4.166490008
1987/8/1,4.280898407
1987/9/1,4.291035748
1987/10/1,4.343067431
1987/11/1,4.314664296
1987/12/1,4.302583149
1988/1/1,4.383640423
1988/2/1,4.386553409
1988/3/1,4.451939222
1988/4/1,4.388452903
1988/5/1,4.445286952
1988/6/1,4.685384324
1988/7/1,4.712055892
1988/8/1,4.685749317
1988/9/1,4.73102913
1988/10/1,4.616281806
1988/11/1,4.751873732
1988/12/1,4.798725378
1989/1/1,4.756783262
1989/2/1,4.792426849
1989/3/1,4.760352769
1989/4/1,4.627130987
1989/5/1,4.751380664
1989/6/1,4.753801306
1989/7/1,4.905247602
1989/8/1,4.865522153
1989/9/1,4.684441734
1989/10/1,4.81739966
1989/11/1,4.811218772
1989/12/1,4.842735403
1990/1/1,4.92058886
1990/2/1,4.935526464
1990/3/1,5.208700881
1990/4/1,5.294133558
1990/5/1,5.183754067
1990/6/1,5.388456883
1990/7/1,5.535071884
1990/8/1,5.855903558
1990/9/1,5.948660349
1990/10/1,5.817450968
1990/11/1,5.70341926
1990/12/1,5.672549361
1991/1/1,5.839029006
1991/2/1,5.883436919
1991/3/1,5.496431415
1991/4/1,5.302381155
1991/5/1,5.248477287
1991/6/1,4.959978472
1991/7/1,4.735708693
1991/8/1,4.413788018
1991/9/1,4.465741661
1991/10/1,4.310597235
1991/11/1,4.370003221
1991/12/1,4.366592403
1992/1/1,4.069913371
1992/2/1,3.878184354
1992/3/1,3.990512759
1992/4/1,4.077543119
1992/5/1,3.937860894
1992/6/1,3.875841001
1992/7/1,3.785344226
1992/8/1,3.644349796
1992/9/1,3.363566041
1992/10/1,3.654950596
1992/11/1,3.649402976
1992/12/1,3.497528562
1993/1/1,3.547354737
1993/2/1,3.580667722
1993/3/1,3.353160609
1993/4/1,3.422176699
1993/5/1,3.551431283
1993/6/1,3.583428873
1993/7/1,3.437046316
1993/8/1,3.522739086
1993/9/1,3.656038681
1993/10/1,3.433321443
1993/11/1,3.445125507
1993/12/1,3.557822725
1994/1/1,3.384372964
1994/2/1,3.424654259
1994/3/1,3.578833286
1994/4/1,3.364064138
1994/5/1,3.238103819
1994/6/1,3.207540833
1994/7/1,3.245680943
1994/8/1,3.318864731
1994/9/1,3.267212367
1994/10/1,3.178740091
1994/11/1,3.142092625
1994/12/1,2.915659975
1995/1/1,3.159681044
1995/2/1,3.139699974
1995/3/1,3.184482491
1995/4/1,3.322916117
1995/5/1,3.367477772
1995/6/1,3.34707431
1995/7/1,3.402097044
1995/8/1,3.255560049
1995/9/1,3.368207809
1995/10/1,3.479287466
1995/11/1,3.394879542
1995/12/1,3.397750888
1996/1/1,3.294296705
1996/2/1,3.278044833
1996/3/1,3.15123296
1996/4/1,3.021419042
1996/5/1,3.065009249
1996/6/1,3.066510398
1996/7/1,3.103134864
1996/8/1,3.096243134
1996/9/1,3.076709572
1996/10/1,2.957328624
1996/11/1,2.99348831
1996/12/1,3.066760867
1997/1/1,2.924852958
1997/2/1,2.815492049
1997/3/1,2.868448161
1997/4/1,2.924881516
1997/5/1,2.883239208
1997/6/1,2.841507556
1997/7/1,2.764311367
1997/8/1,2.668660701
1997/9/1,2.558893145
1997/10/1,2.633884037
1997/11/1,2.564888202
1997/12/1,2.636585632
1998/1/1,2.686312997
1998/2/1,2.70235568
1998/3/1,2.682792941
1998/4/1,2.650550927
1998/5/1,2.621199946
1998/6/1,2.610692088
1998/7/1,2.613395599
1998/8/1,2.643666793
1998/9/1,2.603431515
1998/10/1,2.54435291
1998/11/1,2.531446927
1998/12/1,2.446189532
1999/1/1,2.3907588
1999/2/1,2.3238316
1999/3/1,2.2464619
1999/4/1,2.2358613
1999/5/1,2.1625267
1999/6/1,2.0812547
1999/7/1,2.1244533
1999/8/1,2.1074137
1999/9/1,2.0832919
1999/10/1,2.0639533
1999/11/1,2.1623251
1999/12/1,2.1818508
2000/1/1,2.350195
2000/2/1,2.3950909
