Date,price,gdpgrowth,cpigrowth,unemp,msci
2012-01-01,17.885035465296664,17267.0415638285,2.901954675,8.3,75.0
2012-02-01,20.55067716684337,17510.2711572025,2.799454509,8.3,75.3
2012-03-01,22.345139472102616,17324.2875822472,2.533216856,8.2,76.2
2012-04-01,22.375135487270843,17412.9418265252,2.179634932,8.2,76.4
2012-05-01,21.32971934804639,17475.9668982175,1.515546617,8.2,79.3
2012-06-01,21.211195243699674,17445.2960794983,1.361493151,8.2,73.2
2012-07-01,22.572578147714285,17518.0663525393,1.007154389,8.2,72.3
2012-08-01,23.64971130688736,17414.9882562677,1.386123386,8.1,74.3
2012-09-01,24.328302287521254,17476.6190019505,1.797402489,7.8,78.3
2012-10-01,22.49211655859319,17407.0565179105,2.067495283,7.8,82.6
2012-11-01,22.897550401928775,17485.925110589,1.732140368,7.7,82.7
2012-12-01,22.236060519861752,17577.3505567119,1.722416222,7.9,72.9
2013-01-01,20.259713595640402,17719.6316530793,1.561264813,8.0,73.8
2013-02-01,20.35483590518666,17601.6890493401,1.94706938,7.7,77.6
2013-03-01,20.371747043045332,17666.6075612191,1.399911385,7.5,78.6
2013-04-01,20.007836200255955,17697.9984377006,0.974252647,7.6,76.4
2013-05-01,20.393891116655713,17652.7405069753,1.278771147,7.5,84.5
2013-06-01,18.052253124514174,17778.9977689918,1.711248519,7.5,84.1
2013-07-01,19.009328413679007,17802.7407605539,1.937639129,7.3,85.1
2013-08-01,20.335942888591266,17894.0177367022,1.474966161,7.2,82.1
2013-09-01,20.267853668527284,17885.3189635365,1.11714606,7.2,77.5
2013-10-01,22.291335449769264,17983.9432495263,0.904333084,7.2,73.2
2013-11-01,23.441354663459883,18055.0330184048,1.206673277,6.9,75.1
2013-12-01,23.104177495617623,18010.1540177858,1.500705227,6.7,82.5
2014-01-01,21.168039877752047,17898.4653766963,1.5790492,6.6,81.2
2014-02-01,22.070562581125877,17986.814213364,1.104570027,6.7,81.6
2014-03-01,22.23306629161411,17977.3504830887,1.498215225,6.7,80.0
